This supplement lists certain entities or addresses subject to license requirements and other Entity List restrictions for specified items under this part 744 and part 746 of the EAR. License requirements for these entities include exports, reexports, and transfers (in-country) unless otherwise stated. A license is required, to the extent specified on the Entity List, to export, reexport, or transfer (in-country) any item subject to the EAR when an entity or a party to the transaction is operating at an address that is listed on the Entity List under an address entry is a party to the transaction as described in § 748.5(c) through (f) of the EAR. The Entity List license requirements and other Entity List restrictions also apply to any foreign entity that is owned, directly or indirectly, individually or in aggregate, 50 percent or more by one or more listed entities or entities that are subject to restrictions based upon their ownership. An entity owned 50 percent or more, directly or indirectly, by multiple entities subject to EAR license requirements pursuant to some combination of the Entity List, MEU List, or SDN List designated under programs listed in § 744.8(a)(1), is subject to the most restrictive license requirements, license exception eligibility, and license review policy applicable to one or more of its owners under the EAR. If an exporter, reexporter, or transferor cannot determine the ownership percentage of a foreign entity that is an entity owned, directly or indirectly, by one or more listed entities, they must resolve the Red Flag or obtain a license from BIS prior to proceeding with the export, reexport, or transfer (in-country), unless a license exception is available (see Red Flag 29 in supplement no. 3 to part 732). This list is revised and updated on a periodic basis in this supplement by adding new or amended notifications and deleting notifications no longer in effect.
Country | Entity | License requirement | License reviewpolicy | Federal Register citation
AFGHANISTAN | Abdul Satar Ghoura, 501, 5th Floor, Amanullah Sancharaki Market Opp Chaman E Huzuri, Kabul, Afghanistan; and Flat No. 41 Block No. 24 Macroyan 3, Kabul, Afghanistan. (See alternate addresses under Pakistan). | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 76 FR 71869, 11/21/11.
Afghan-German Construction Company, Golaye Park, Shari Naw, Kabul, Afghanistan, and Dasht Qala, Takhar Province, Afghanistan. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 77 FR 25057, 4/27/12.
Raintree Scientific Instruments (Shanghai) Corporation, a.k.a., the following two aliases: —RSIC Scientific Instruments (Shanghai) Co., Ltd.; and —Ruili Scientific Instruments (Shanghai) Co., Ltd. Building 6, Zhangjiang Pioneer Park, No. 68 Huatuo Road, Pudong New Area, Shanghai, China; and First Floor, Building 2, Chenghe Innovation Research Center, No. 48 Gubo Road, Pudong New District, Shanghai, China; and Building A8 No. 38 Dongsheng Road, Shanghai Xinfa Chuangyun Industrial Park (Northeast Gate 2), Pudong New Area, Shanghai, China; and No. 777, Jianshe West Road, Binhu District, Jiangsu Zhuosheng Microelectronics Co., Ltd., Binhu District, Wuxi, China. | For all items subject to the EAR (See § 744.11 of the EAR) | Presumption of denial | 89 FR 96836, 12/5/24.
Raven International Trade Limited, No. 19 Jingping Road Fuchun Street, Fuyang Hangzhou Zhejiang, China; and Flat B, 9/F, Mega Cube, No. 8 Wang Kwong Road, Kowloon, Hong Kong. | For all items subject to the EAR. (See §§ 734.9(g),3 746.8(a)(3), and 744.21(b) of the EAR) | Policy of denial for all items subject to the EAR apart from food and medicine designated as EAR99, which will be reviewed on a case-by-case basis. See §§ 746.8(b) and 744.21(e) | 88 FR 66273, 9/27/23.
Ray Hui, Units 801-803 and 805, Park Sun Building, No. 97-107 Wo Yi Hop Road, Kwai Chung, N.T., Hong Kong. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 83 FR 44824, 9/4/18.85 FR 83769, 12/23/20.
Rayscience Optoelectronics Innovation Co., Ltd., a.k.a., the following one alias: —Collective Enterprise Limited. 3rd Floor, Building 47, No. 2338, Duhui Road, Minhang District, Shanghai, China; and 5F, Building 21, Douhui Road 2338 Lane, Shanghai, China; and Ste. 306, Building 1, Shennan Road 59, Shanghai, China; and Unit 3A, 5F, Far East Consortium Building 21 Des Voeux Road Central HK01, Hong Kong; and Flat B 607, 6/F Jumbo Industrial Building, Hong Kong; and Room 2107, 21/F CCWU Building, 302-308 Hennessy Road, Wanchai, Hong Kong. | For all items subject to the EAR. (See § 744.11 of the EAR) | See § 744.3(d) of the EAR88 FR 13675, 3/6/23. | 89 FR 14405, 2/27/24.
Reekay Technology Ltd., a.k.a., the following one alias:—Reekay Technology. Suite 502, 5th Floor Arion Commercial Centre, No. 2-12 Queens Road West, Sheung Wan, Hong Kong. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 80 FR 69856, 11/12/15.85 FR 83769, 12/23/20.
Robotronix Semiconductors Limited, 89 Lockhart Road, Wan Chai Central Building, 4th Floor, Room 401, Wan Chai, Hong Kong. | For all items subject to the EAR. (See §§ 734.9(g),3 746.8(a)(3), and 744.11 of the EAR) | Policy of denial for all items subject to the EAR. See § 746.8(b) | 88 FR 70353, 10/11/23. 89 FR 87265, 11/1/24.
ROFS Microsystems, No. 92 Weijin Road, Tianjin, China 300072; and 3rd Floor, Room 316, A2 Building, Tianjin University Science Park, No. 80, 4th Avenue, Tianjin Economic Development Area (TEDA), Tianjin, China. | All items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 85 FR 83420, 12/22/20.
Roin Luo, Room 2114, 21/F., Shenhua Commercial, Bldg, No. 2018 Jiabin Rd, Luo Hu District, Shenzhen, China 518001. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 85 FR 59421, 9/22/20.
ROV Solutions, Rm. 1014 Favour Industrial Centre, 2-6 Kin Hong Street Kwai Chung Hong Kong. (see alternate address under Georgia). | All items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 86 FR 71559, 12/17/21.
Rui En Koo Technology Co. Ltd, a.k.a., the following two aliases: —Rui En Koo Technology; and —Rui En Ke Technology Co. Ltd. 59 King Yip Street, King Yip Factory Building, 7th Floor, Room B22, Kwun Tong, Kowloon, Hong Kong; and Fenghuang Street, Nantaiyun Chuanggu Center Building 4, Room 1202, Guangming District, Shenzhen, Guangdong, 518132, China. | For all items subject to the EAR. (See §§ 734.9(g),3 746.8(a)(3), and 744.11 of the EAR) | Policy of denial for all items subject to the EAR. See § 746.8(b) | 88 FR 70353, 10/11/23. 89 FR 87265, 11/1/24.
Ruili Microelectronics Equipment (Shanghai) Co., Ltd., a.k.a, the following two aliases: —Raintree Microelectronics; and —RSIC Microelectronics. B1, 2nd Floor, No. 88 Taigu Road, Shanghai, China; and Kailong Technology Building, Lane 3166, Longdong Avenue, Pudong New District, Shanghai, China. | For all items subject to the EAR (See § 744.11 of the EAR) | Presumption of denial | 89 FR 96836, 12/5/24.
RYX Electronic (HK) Limited, a.k.a., the following one alias: —RYX Electronic Limited. Shenfang Building, Futian District, Shenzhen, Guangdong, 518028, China; and 3rd Floor, Wing Tat Commercial Building, 121-125 Wing Lok Street, Sheung Wan, Hong Kong. | For all items subject to the EAR (See §§ 734.9(g),3 746.8(a)(3), and 744.11 of the EAR) | Policy of denial for all items subject to the EAR. See § 746.8(b) | 89 FR 68548, 8/27/24.
S&C Trade PTY Company Limited, Room 203, B, Lijingshangwu, No. 57 Busha Road, Buji Longgang, Shenzhen, China. | For all items subject to the EAR. (See §§ 734.9(g),3 746.8(a)(3), and 744.21(b) of the EAR) | Policy of denial for all items subject to the EAR apart from food and medicine designated as EAR99, which will be reviewed on a case-by-case basis. See §§ 746.8(b) and 744.21(e) | 88 FR 66273, 9/27/23.
Sangon Biotech (Shanghai) Co., Ltd. a.k.a., the following five aliases: —Shanghai Shenggong Biotechnology Service Co. Ltd.; —Shenggong Biotechnology (Shanghai) Co. Ltd.; —Shenggong Biotechnology; —Sangon Biotech Technology Service Co., Ltd.; and —Shanghai Bioengineering Co., Ltd. No. 698 Xiangmin Road, Shanghai, China; and 695 Xiangmin Road, Shanghai, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 90 FR 44499, 9/16/25.
Sansha Highlander Marine Information Technology Co. Ltd., a.k.a., the following two aliases:—Sansha Highlander Ocean Information Science and Technology Co. Ltd.; and—Sansha Highlander Ocean Information Technology Co. Ltd. Sansha City, Hainan Province, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 87 FR 38925, 6/30/22.
Sanya Highlander Huanyu Ocean Information Technology Corporation, a.k.a., the following one alias:—Sanya Highlander Information Technology Co. Ltd. C1902, SP Tower, Tsinghua Science Park, Beijing, China 100084. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 87 FR 38925, 6/30/22.
Sau Luen Chan, Unit 803, Fourseas Building, 208-212 Nathan Road, Kowloon, Hong Kong; and Room 803, Fourseas Bldg 208-212 Nathan Rd, Kowloon, Hong Kong. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 79 FR 56003, 9/18/14.85 FR 83769, 12/23/20.
Schmidt & Co., (HK) Ltd., a.k.a., the following two aliases: —Hing Wah Technology Co. Ltd.; and —Xinghua Scientific Instrument Co. Ltd. No. 210, Building 4B, Honghua Road, Futian Free Trade Zone, Shenzhen, China; and Unit 1703a, 17/F, Nanyang Plaza, 57 Hung To Road, Kwun Tong, Kowloon, Hong Kong; and Unit 1108, 11/F, Westly Square, 48 Hoi Yuen Road, Kwun Tong, Hong Kong; and Room 8, 3/F, No. 1014 Kwei Tei Street, Hong Kong; and Unit 1406A, 14th Floor, Nanyang Plaza, 57 Hung To Road, Kwun Tong, Kowloon, Hong Kong. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 90 FR 48195, 10/9/25.
Scikro (Hong Kong) Instruments Limited, a.k.a., the following two aliases: —Scikro Hong Kong Instrument Limited; and —Scikro Instruments Ltd. Building 46, No. 555, Guiping Road, Shanghai, China; and Building 8, No. 86 Bi Yun Road, Shanghai, China; and 6F, Manulife Place, 348 Kwun Tong Road, Kowloon, Hong Kong; and Acad Bldg., Room 4461, Kowloon, Hong Kong. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 90 FR 14035, 3/28/25.
Scikro (Shanghai) Instrument Co., Ltd., a.k.a. the following one alias: —Saihao (Shanghai) Instrument Co., Ltd. Building 45, No. 555, Guiping Road, Shanghai, China; and Building 46, No. 555, Guiping Road, Shanghai, China; and Building 8, No. 86 Bi Yun Road, Shanghai, China; and Building 1, No. 480 Huapu Road, Shanghai, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 90 FR 14035, 3/28/25.
Seajet Company Limited, a.k.a., the following three aliases:—Hisiang Logistics Company Limited;—Beijing Haixiang International Transport Agency Co., Ltd.; and—GDL Company Limited B-804 SOHO New Town, 88 Jianguo Road, Chaoyang District, Beijing, 100022, China; and Room 1002, LT Square, No. 500, Chengdu North Road, Shanghai, 200003, China; and Unit 1906-2, West Tower, Fortune Plaza, No. 114, Tiyu Dong Rd, Tianhe District, Guangzhou 510620, China; and No. 2, Juhe 6 Street, Jufuyuan, Business Development Tongzhou Di, Beijing, China; and Room 2, A316 Haidin 9 Road, Tianjin, Port Free Trade Zone, Tianjin, China; and 2-403 No.2 Jinsui Lu, Nanfaxin, Shunyi District, Beijing, China; and Room 2201-23, Building (1-5), No. 600 Hengfeng Road, Jing'an District, Shanghai, China, and 404 (8), Zongbao Zone Building, No. 1998, Innovation Avenue, Dongxihu District, Wuhan, China; and Zibian A25 3rd Floor, No. 98 Jianji Road, Haizhu District, Guangzhou, China; and B-807 SOHO New Town, 88 Jianguo Road, Chaoyang District, 100022 Beijing, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 83 FR 44824, 9/4/18. 86 FR 29193, 6/1/21.
Semiconductor Manufacturing International (Beijing) Corporation, a.k.a., the following one alias: —SMIC Beijing. No. 18 Wen Chang Road, Beijing Economic-Technological Development Area, Beijing 100176. | For all items subject to the EAR (See §§ 734.4(a)(9), 734.9(e)(3), and 744.11 of the EAR) 5 | Presumption of denial | 85 FR 83420, 12/22/20. 89 FR 96836, 12/5/24.
Semiconductor Manufacturing International Corporation (SMIC), a.k.a., the following three aliases: —Semiconductor Manufacturing International (Shanghai) Corporation; —SMIC Shanghai; and —Semiconductor Mfg International Corp. No. 18 Zhang Jiang Road, Pudong New Area, Shanghai 201203, China. | For all items subject to the EAR (See §§ 734.4(a)(9), 734.9(e)(3), and 744.11 of the EAR) 5 | Presumption of denial for all items to include items described in ECCN 3B001.a.4, .c, .d, f.1.b.2, .k to .p; 3B002.c, 3B993, or 3B994. Case-by-case for items designed for production of 200mm wafers destined to a 200mm wafer production facility | 85 FR 83420, 12/22/20. 89 FR 96836, 12/5/24.
Semiconductor Manufacturing International (Shenzhen) Corporation, a.k.a., the following one alias: —SMIC Shenzhen. No. 18 Gaoxin Road, Export Processing Zone, Pingshan New Area, Shenzhen, 518118, China; and 1st Lanzhu Avenue, Pingshan Town, Longgang District, Shenzhen, Guangdong, 518118, China; and Qier Road, Export Processing Zone, Pingshan New Area, Shenzhen, China. | For all items subject to the EAR (See § 744.11 of the EAR) | See §§ 744.11 and 744.23(d) of the EAR | 85 FR 83420, 12/22/20. 89 FR 96836, 12/5/24.
Semiconductor Manufacturing International (Tianjin) Corporation, a.k.a., the following one alias: —SMIC Tianjin. No. 19 Xing Hua Avenue, Xiqing Economic Development Area, Tianjin, 300385, China. | For all items subject to the EAR (See § 744.11 of the EAR) | See §§ 744.11 and 744.23(d) of the EAR | 85 FR 83420, 12/22/20. 89 FR 96836, 12/5/24.
Semiconductor Manufacturing South China Corporation, a.k.a., the following four aliases: —SMSC; —SMIC Southern Integrated Circuit Manufacturing Co., Ltd.; —SMIC South; and —SMIC Southern. 5th Floor, Building 3, No. 18 Zhang Jiang Road, China (Shanghai) Pilot Free Trade Zone, China; and 18 Zhangjiang Road, Pudong New Area, Shanghai, China. | For all items subject to the EAR (See §§ 734.4(a)(9), 734.9(e)(3), and 744.11 of the EAR) 5 | Presumption of denial | 85 FR 83420, 12/22/20. 89 FR 96836, 12/5/24.
SenseNets, a.k.a., the following six aliases:—Deep Net Vision;—Deep Network Vision;—Sensenets Corporation;—Shenzhen Net Vision;—Shenzhen Shenwang Vision Technology Co., Ltd.; and—Shenzhen Vision. 8th Floor, East Tower, Skyworth Semiconductor Design Building, No. 18 Gaoxin South 4th Road, Yuehai Street, Nanshan District, Shenzhen, China; and 16F, China Merchants Development Center, No. 1063, Nanhai Avenue, Nanshan District, Shenzhen, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Case-by-case review for ECCNs 1A004.c, 1A004.d, 1A995, 1A999.a, 1D003, 2A983, 2D983, and 2E983, and for EAR99 items described in the Note to ECCN 1A995; case-by-case review for items necessary to detect, identify and treat infectious disease; and presumption of denial for all other items subject to the EAR | 85 FR 34505, 6/5/20.85 FR 44159, 7/22/20.
Sergey Koynov, a.k.a., the following one alias:—Sergey V. Coyne. Room 704 7/F, Landwide Commercial Building, 118-120 Austin Rd, Tsim Sha Tsui, Hong Kong (See alternate address in Russia). | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 77 FR 61256, 10/9/12.85 FR 83769, 12/23/20.
Serko Limited, Room 704 7/F, Landwide Commercial Building, 118-120 Austin Rd, Tsim Sha Tsui, Hong Kong; and Room 1509, Unit A, 15th Floor, Mai Shun Industrial Building, No. 18-24 Kwai Cheong Road, New Territories, Hong Kong. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 77 FR 61249, 10/9/12. 80 FR 69856, 11/12/15.85 FR 83769, 12/23/20.
Shaanxi Aerospace Science and Technology Co., Ltd., a.k.a., the following two aliases: —Xi'an Tianying Industry Co., Ltd.; and —Xi'an Xiangyang Aerospace Industry Head Office. No. 32 Tuanjie South Road, Xi'an High-tech Zone, Shaanxi Province, China; and No. 1, Tianwang Street, Baqiao District, Xi'an, Shaanxi Province, China; and No. 1 Cuihuanan Rd., Xi'an, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 90 FR 14035, 3/28/25.
Shaanxi Changling Electronic Technology Co., Ltd., a.k.a., the following one alias:—State-owned 782 Factory. No.75 Qingjiang Road, Weibin District, Baoji City, Shaanxi Province, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 85 FR 52901, 8/27/20.
Shaanxi Reactor Microelectronics Co., Ltd., Room 301, Block A, Hanyun Tower, Xi'an Software Park, No. 68, Keji 2nd Rd., High-Tech Zone, Xi'an, Shaanxi; and Room 103, Building 3, Zhongfu Commercial Advertising Park, Liuxian 2nd Road, Shenzhen City; and C37, Block C, Langda Plaza, Guzhen Town, Zhongshan City; and Room 604, Building 10, Baofen Yuanyuan No. 165, Baoqing Rd., Zhuangqiao St., Jiangbei District, Ningbo City, Zhejiang Province; and Room 105, Information Building, Three High Tech Road, Shaanxi, Xian, China. | All items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 86 FR 71559, 12/17/21.
Shaanxi Yingsaeir Electronic Technology Co. Ltd., a.k.a., the following two aliases: —Shaanxi Yingsaier Electronic Science & Technology Co. Ltd.; and —Shaanxi Yingsai'er Commerce and Trade Co. Ltd. No. 28 Xinxi Avenue, Zone B of Shaanxi Xi'an Export Processing Zone, 3A Section 6, Xi'an, 710119, China; and No. 10804, Floor 8, Unit 1, Building No. 2, Xibeijiao More Center, Keji 6th Road, Fenghui S. Road, High-Tech Zone, Xi'an, Shaanxi, China; and No. 195 Keji Road, Room 12A06, Block A, Century Yiyuan, Yanta District, Xi'an, Shaanxi, China. | For all items subject to the EAR. (See §§ 734.9(g),3 746.8(a)(3), and 744.11 of the EAR) | Policy of denial for all items subject to the EAR. See § 746.8(b) | 88 FR 70353, 10/11/23. 89 FR 87265, 11/1/24.
Shaanxi Zhi En Electromechanical Technology Co., Ltd., Room 11905, Floor 19, Building 1, Daminggong, Wanda Plaza, Taihua North Road, Weiyang District, Xian City, Shaanxi Province, China. | All items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 86 FR 67319, 11/26/21.
Shandong Feiyuan Gas Co., Ltd., a.k.a., the following one alias: —Feiyuan Gas. No. 5, Road 4, Gaoqing Chemical Industry Park, Gaocheng Town, Gaoqing County, Zibo, China. | For all items subject to the EAR (See § 744.11 of the EAR) | Presumption of denial | 89 FR 96836, 12/5/24.
Shandong Sheenrun Optics & Electronics Co., Ltd., a.k.a., the following two aliases:—China Sheenrun Optics and Electronics Co. Ltd.; and—Jinan Sheenrun Electronics Company Ltd. Room A312, Tower F1 Qilu Software Park, Hi-tech Zone, Jinan, China 250101. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 80 FR 22640, 4/23/15.
Shandong Xin Yin Bo IOT Technology Co., Ltd., a.k.a., the following three aliases: —Shandong Xinyinbo IOT Technology Co. Ltd; —Shandong Maojia IOT Technology Co. Ltd.; and —Shandong MaoJiaHuTong IOT Technology Co. Ltd. No. 3809, Cyberport Building, No. 47 Shanda Road, Jinan, Shandong, China; and Room A906, Huaqiang International Center, No. 157 Shanda Road, Jinan, Shandong, China; and 1-1001, Building 5, District 2, Chang'an New Town, Fengtai District, Beijing, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 90 FR 48195, 10/9/25.
Shanghai Aerospace Science and Technology Development Co., Ltd., a.k.a. the following two aliases: —Shanghai Astronautical Science-Technology Development Company; and —Shencom. Room A-522, No. 188, Yesheng Road, Lingang New Area, (Shanghai) Pilot Free Trade Zone, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 88 FR 38741, 6/14/23.
Shanghai AGM Gas Co., Ltd., a.k.a., the following one alias: —AGM Gas. Room 220, 2F, No. 1799-6, Wuzhong Road, Minhang District, Shanghai, China. | For all items subject to the EAR (See § 744.11 of the EAR) | Presumption of denial | 89 FR 96836, 12/5/24.
Shanghai Aipusi Precision Equipment Co., Ltd., Room 402, Building 1, No. 170 Zihai Road, Minhang District, Shanghai, China. | For all items subject to the EAR (See § 744.11 of the EAR) | Presumption of denial | 89 FR 96836, 12/5/24.
Shanghai Aisinochip Electronics Technology Co., Ltd., a.k.a., the following two aliases:—Shanghai Aixinnuohangxin Electronic Technology Co., Ltd.; and—Aisino Chip. Building 702, Building 102, Phase 3, Science and Technology Oasis, No. 2570, Hechuan Rd., Minhang District, Shanghai. | All items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 86 FR 71559, 12/17/21.
